Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
palm,-0.0013307,0.0010114,0.062993,0,0,0,0.094529,0.0001357,1.4777E-06,3.568E-07,0.00017087,1.1375E-06,6.3659E-05,0,0,0,0,0,0,package://hand/meshes/palm.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/palm.STL,,left_palm_main-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb1,0.0040775,5.1448E-06,-8.4377E-06,0,0,0,0.00094362,1.9603E-08,9.8917E-13,6.2515E-11,4.104E-08,-4.0962E-14,2.901E-08,0,0,0,0,0,0,package://hand/meshes/thumb1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/thumb1.STL,,left_palm_thumb_joint-2,Coordinate System2,Axis_palm_thumb1,palm_thumb1,revolute,0.021198,0.01582,0.053,0,0,0,palm,0,0,1,0,0,-1.57,1.57,,,,,,,,
thumb2,0.023578,-0.00022362,7.7799E-07,0,0,0,0.0094731,9.8539E-07,1.3505E-07,1.9088E-10,2.3115E-06,1.1807E-10,2.7955E-06,0,0,0,0,0,0,package://hand/meshes/thumb2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/thumb2.STL,,left_thumb_root-1,Coordinate System3,Axis_thumb_12,thumb_12,revolute,0.011644,0,-5.656E-05,-1.5708,0,0,thumb1,0,0,1,0,0,-1.57,1.57,,,,,,,,
thumb3,0.013839,0.00085022,2.7025E-06,0,0,0,0.006391,4.7292E-07,-9.0106E-09,8.9883E-11,6.5656E-07,-2.3775E-10,8.1196E-07,0,0,0,0,0,0,package://hand/meshes/thumb3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/thumb3.STL,,left_thumb_mid-1,Coordinate System4,Axis_thumb_23,thumb_23,revolute,0.043954,0,0,0,0,0,thumb2,0,0,1,0,0,-1.57,1.57,,,,,,,,
thumb4,0.013621,0.00047042,7.267E-08,0,0,0,0.0039861,1.0034E-07,1.8877E-08,1.7483E-12,2.8593E-07,-2.4367E-12,2.98E-07,0,0,0,0,0,0,package://hand/meshes/thumb4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/thumb4.STL,,left_thumb_tip-1,Coordinate System5,Axis_thumb_34,thumb_34,revolute,0.029871,0,0,0,0,0,thumb3,0,0,1,0,0,-1.57,1.57,,,,,,,,
index1,0.01519,-0.0017071,-1.0062E-06,0,0,0,0.0052421,2.1523E-07,8.2486E-09,4.1897E-12,8.1651E-07,-4.8384E-11,8.927E-07,0,0,0,0,0,0,package://hand/meshes/index1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/index1.STL,,left_index_root-1,Coordinate System6,Axis_palm_index1,palm_index1,revolute,0.026145,-0.0020908,0.12443,0,-1.5359,0,palm,0,0.00060917,-1,0,0,-1.57,1.57,,,,,,,,
index2,0.020114,-0.0023316,-3.1197E-06,0,0,0,0.0041819,8.3265E-08,-4.8742E-08,-1.3487E-10,6.592E-07,-6.6485E-11,6.6964E-07,0,0,0,0,0,0,package://hand/meshes/index2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/index2.STL,,left_index_tip-1,Coordinate System7,Axis_index_12,index_12,revolute,0.036321,0,0,0,0,0,index1,0,0.00060917,-1,0,0,-1.57,1.57,,,,,,,,
middle1,0.014781,-0.0016035,1.0345E-07,0,0,0,0.0051082,2.1368E-07,2.8666E-08,-9.5921E-12,7.7861E-07,-2.3932E-12,8.5557E-07,0,0,0,0,0,0,package://hand/meshes/middle1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/middle1.STL,,left_middle_root-1,Coordinate System8,Axis_palm_middle1,palm_middle1,revolute,0.0069479,-0.0020971,0.12479,3.1416,-1.5708,0,palm,0,0,1,0,0,-1.57,1.57,,,,,,,,
middle2,0.020341,-0.0024484,4.4802E-05,0,0,0,0.0042456,8.5355E-08,-5.2791E-08,-4.1309E-10,6.8199E-07,-1.0381E-11,6.9313E-07,0,0,0,0,0,0,package://hand/meshes/middle2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/middle2.STL,,left_middle_tip-2,Coordinate System9,Axis_middle_12,middle_12,revolute,0.035822,0,0,0,0,0,middle1,0,0,1,0,0,-1.57,1.57,,,,,,,,
ring1,0.015715,-0.0016164,1.482E-06,0,0,0,0.005044,2.0628E-07,2.8006E-09,-6.5184E-12,7.4369E-07,6.0329E-11,8.1295E-07,0,0,0,0,0,0,package://hand/meshes/ring1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/ring1.STL,,left_ring_root-1,Coordinate System10,Axis_palm_ring1,palm_ring1,revolute,-0.012095,-0.0020884,0.12429,-3.1416,-1.5184,3.1416,palm,0,0.00091329,1,0,0,-1.57,1.57,,,,,,,,
ring2,0.020136,-0.0021343,2.8584E-06,0,0,0,0.0042224,8.371E-08,-4.4514E-08,1.1386E-10,6.7979E-07,3.0518E-11,6.8975E-07,0,0,0,0,0,0,package://hand/meshes/ring2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/ring2.STL,,left_ring_tip-1,Coordinate System11,Axis_ring_12,ring_12,revolute,0.036089,0,0,0,0,0,ring1,0,0.00091329,1,0,0,-1.57,1.57,,,,,,,,
little1,0.015515,-0.0020772,3.7962E-06,0,0,0,0.004837,1.9887E-07,1.9574E-08,-3.2281E-11,6.9992E-07,1.1589E-10,7.6407E-07,0,0,0,0,0,0,package://hand/meshes/little1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/little1.STL,,left_little_root-1,Coordinate System12,Axis_palm_little1,palm_little1,revolute,-0.031086,-0.0020623,0.1228,3.1416,-1.4661,3.1416,palm,0,0.0018242,1,0,0,-1.57,1.57,,,,,,,,
little2,0.016676,-0.0028045,-3.7906E-05,0,0,0,0.0035295,7.2229E-08,-4.2588E-08,4.4869E-10,4.1119E-07,3.255E-11,4.1902E-07,0,0,0,0,0,0,package://hand/meshes/little2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand/meshes/little2.STL,,left_little_tip-1,Coordinate System13,Axis_little_12,little_12,revolute,0.035646,0,0,0,0,0,little1,0,0.0018242,1,0,0,-1.57,1.57,,,,,,,,
